analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-1016	ukb-b-1016	Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter			/local-scratch/data/opengwas/igd/ukb-b-1016/ukb-b-1016.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10162	ukb-b-10162	Job involve night shift work			/local-scratch/data/opengwas/igd/ukb-b-10162/ukb-b-10162.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	43440				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10164	ukb-b-10164	Operative procedures - main OPCS: X31.2 Intravenous pyelography			/local-scratch/data/opengwas/igd/ukb-b-10164/ukb-b-10164.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10167	ukb-b-10167	Operation code: vasectomy			/local-scratch/data/opengwas/igd/ukb-b-10167/ukb-b-10167.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10169	ukb-b-10169	Guilty feelings			/local-scratch/data/opengwas/igd/ukb-b-10169/ukb-b-10169.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	450704				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10181	ukb-b-10181	Eye problems/disorders: Diabetes related eye disease			/local-scratch/data/opengwas/igd/ukb-b-10181/ukb-b-10181.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	150642				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10188	ukb-b-10188	Vitamin and mineral supplements: Vitamin B			/local-scratch/data/opengwas/igd/ukb-b-10188/ukb-b-10188.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	460351				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1020	ukb-b-1020	Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC			/local-scratch/data/opengwas/igd/ukb-b-1020/ukb-b-1020.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10202	ukb-b-10202	PCT responsible for patient data: BURY PCT			/local-scratch/data/opengwas/igd/ukb-b-10202/ukb-b-10202.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1021	ukb-b-1021	Operation code: muscle/soft tissue surgery			/local-scratch/data/opengwas/igd/ukb-b-1021/ukb-b-1021.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10212	ukb-b-10212	Treatment speciality of consultant (recoded): Neurology			/local-scratch/data/opengwas/igd/ukb-b-10212/ukb-b-10212.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	444321				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10215	ukb-b-10215	Hand grip strength (right)			/local-scratch/data/opengwas/igd/ukb-b-10215/ukb-b-10215.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	461089				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10217	ukb-b-10217	Sweets intake			/local-scratch/data/opengwas/igd/ukb-b-10217/ukb-b-10217.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10224	ukb-b-10224	Non-cancer illness code, self-reported: meningitis			/local-scratch/data/opengwas/igd/ukb-b-10224/ukb-b-10224.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10248	ukb-b-10248	Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face			/local-scratch/data/opengwas/igd/ukb-b-10248/ukb-b-10248.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10250	ukb-b-10250	Cylindrical power (right)			/local-scratch/data/opengwas/igd/ukb-b-10250/ukb-b-10250.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	99380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10258	ukb-b-10258	Treatment/medication code: paroxetine			/local-scratch/data/opengwas/igd/ukb-b-10258/ukb-b-10258.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10260	ukb-b-10260	Types of spreads/sauces consumed: Gravy			/local-scratch/data/opengwas/igd/ukb-b-10260/ukb-b-10260.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10263	ukb-b-10263	Operative procedures - secondary OPCS: Y80.9 Unspecified general anaesthetic			/local-scratch/data/opengwas/igd/ukb-b-10263/ukb-b-10263.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10272	ukb-b-10272	Treatment/medication code: digoxin			/local-scratch/data/opengwas/igd/ukb-b-10272/ukb-b-10272.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10281	ukb-b-10281	Operative procedures - secondary OPCS: Z89.6 Finger NEC			/local-scratch/data/opengwas/igd/ukb-b-10281/ukb-b-10281.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10284	ukb-b-10284	Treatment/medication code: multivitamins			/local-scratch/data/opengwas/igd/ukb-b-10284/ukb-b-10284.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10286	ukb-b-10286	Breakfast cereal consumed			/local-scratch/data/opengwas/igd/ukb-b-10286/ukb-b-10286.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10289	ukb-b-10289	Operation code: large bowel resection +/- colostomy			/local-scratch/data/opengwas/igd/ukb-b-10289/ukb-b-10289.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10298	ukb-b-10298	Operative procedures - secondary OPCS: W28.1 Application of internal fixation to bone NEC			/local-scratch/data/opengwas/igd/ukb-b-10298/ukb-b-10298.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10309	ukb-b-10309	Operation code: myomectomy/fibroids removed			/local-scratch/data/opengwas/igd/ukb-b-10309/ukb-b-10309.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10324	ukb-b-10324	Operation code: elbow surgery			/local-scratch/data/opengwas/igd/ukb-b-10324/ukb-b-10324.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10325	ukb-b-10325	Average night-time sound level of noise pollution			/local-scratch/data/opengwas/igd/ukb-b-10325/ukb-b-10325.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10351	ukb-b-10351	Non-cancer illness code, self-reported: allergy or anaphylactic reaction to drug			/local-scratch/data/opengwas/igd/ukb-b-10351/ukb-b-10351.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10362	ukb-b-10362	Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis			/local-scratch/data/opengwas/igd/ukb-b-10362/ukb-b-10362.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10366	ukb-b-10366	Sweet snack consumers			/local-scratch/data/opengwas/igd/ukb-b-10366/ukb-b-10366.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10368	ukb-b-10368	Diagnoses - secondary ICD10: R19.4 Change in bowel habit			/local-scratch/data/opengwas/igd/ukb-b-10368/ukb-b-10368.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10382	ukb-b-10382	PCT where patients GP was registered: NORTH STAFFORDSHIRE PCT			/local-scratch/data/opengwas/igd/ukb-b-10382/ukb-b-10382.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10387	ukb-b-10387	Leg pain on walking			/local-scratch/data/opengwas/igd/ukb-b-10387/ukb-b-10387.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	151553				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10409	ukb-b-10409	Diagnoses - secondary ICD10: R10.1 Pain localised to upper abdomen			/local-scratch/data/opengwas/igd/ukb-b-10409/ukb-b-10409.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
