analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-13148	ukb-b-13148	Treatment/medication code: ventolin 100micrograms inhaler			/local-scratch/data/opengwas/igd/ukb-b-13148/ukb-b-13148.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1315	ukb-b-1315	Operation code: thyroidectomy/partial thyroidectomy			/local-scratch/data/opengwas/igd/ukb-b-1315/ukb-b-1315.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13151	ukb-b-13151	Operative procedures - main OPCS: W20.5 Primary open reduction of fracture of ankle and extramedullary fixation NEC			/local-scratch/data/opengwas/igd/ukb-b-13151/ukb-b-13151.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13155	ukb-b-13155	Mixed vegetable intake			/local-scratch/data/opengwas/igd/ukb-b-13155/ukb-b-13155.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1316	ukb-b-1316	Type of cancer: ICD10: C64 Malignant neoplasm of kidney, except renal pelvis			/local-scratch/data/opengwas/igd/ukb-b-1316/ukb-b-1316.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13160	ukb-b-13160	Father still alive			/local-scratch/data/opengwas/igd/ukb-b-13160/ukb-b-13160.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	450333				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13176	ukb-b-13176	Operative procedures - main OPCS: K63.1 Angiocardiography of combination of right and left side of heart			/local-scratch/data/opengwas/igd/ukb-b-13176/ukb-b-13176.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1318	ukb-b-1318	PCT responsible for patient data: BERKSHIRE WEST PCT			/local-scratch/data/opengwas/igd/ukb-b-1318/ukb-b-1318.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13183	ukb-b-13183	Adopted as a child			/local-scratch/data/opengwas/igd/ukb-b-13183/ukb-b-13183.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	461805				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13184	ukb-b-13184	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)			/local-scratch/data/opengwas/igd/ukb-b-13184/ukb-b-13184.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	460376				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13187	ukb-b-13187	Manic/hyper symptoms: I was more creative or had more ideas than usual			/local-scratch/data/opengwas/igd/ukb-b-13187/ukb-b-13187.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	31317				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13190	ukb-b-13190	Diagnoses - main ICD10: G43.9 Migraine, unspecified			/local-scratch/data/opengwas/igd/ukb-b-13190/ukb-b-13190.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-132	ukb-b-132	PCT responsible for patient data: CROYDON PCT			/local-scratch/data/opengwas/igd/ukb-b-132/ukb-b-132.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13217	ukb-b-13217	Main speciality of consultant (recoded): Clinical oncology/ Radiotherapy			/local-scratch/data/opengwas/igd/ukb-b-13217/ukb-b-13217.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	461132				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13231	ukb-b-13231	Place of birth in UK - east co-ordinate			/local-scratch/data/opengwas/igd/ukb-b-13231/ukb-b-13231.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	434576				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13246	ukb-b-13246	Childhood sunburn occasions			/local-scratch/data/opengwas/igd/ukb-b-13246/ukb-b-13246.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	346955				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13247	ukb-b-13247	Diagnoses - secondary ICD10: Z80.0 Family history of malignant neoplasm of digestive organs			/local-scratch/data/opengwas/igd/ukb-b-13247/ukb-b-13247.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13248	ukb-b-13248	Treatment/medication code: warfarin			/local-scratch/data/opengwas/igd/ukb-b-13248/ukb-b-13248.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13251	ukb-b-13251	Non-cancer illness code, self-reported: gout			/local-scratch/data/opengwas/igd/ukb-b-13251/ukb-b-13251.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13276	ukb-b-13276	Operative procedures - main OPCS: S47.2 Drainage of lesion of skin NEC			/local-scratch/data/opengwas/igd/ukb-b-13276/ukb-b-13276.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13281	ukb-b-13281	Naan bread intake			/local-scratch/data/opengwas/igd/ukb-b-13281/ukb-b-13281.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64944				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13285	ukb-b-13285	Treatment speciality of consultant (recoded): Plastic surgery			/local-scratch/data/opengwas/igd/ukb-b-13285/ukb-b-13285.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	445128				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-133	ukb-b-133	Hip pain for 3+ months			/local-scratch/data/opengwas/igd/ukb-b-133/ukb-b-133.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	51516				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1331	ukb-b-1331	PCT where patients GP was registered: CHESTERFIELD PCT			/local-scratch/data/opengwas/igd/ukb-b-1331/ukb-b-1331.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13330	ukb-b-13330	Food weight			/local-scratch/data/opengwas/igd/ukb-b-13330/ukb-b-13330.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64979				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13344	ukb-b-13344	Herbal tea intake			/local-scratch/data/opengwas/igd/ukb-b-13344/ukb-b-13344.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13346	ukb-b-13346	Fractured/broken bones in last 5 years			/local-scratch/data/opengwas/igd/ukb-b-13346/ukb-b-13346.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	460389				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13348	ukb-b-13348	Cancer code, self-reported: prostate cancer			/local-scratch/data/opengwas/igd/ukb-b-13348/ukb-b-13348.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13350	ukb-b-13350	PCT responsible for patient data: NOTTINGHAM CITY PCT			/local-scratch/data/opengwas/igd/ukb-b-13350/ukb-b-13350.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13352	ukb-b-13352	Vascular/heart problems diagnosed by doctor: None of the above			/local-scratch/data/opengwas/igd/ukb-b-13352/ukb-b-13352.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	461880				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13354	ukb-b-13354	Whole body fat-free mass			/local-scratch/data/opengwas/igd/ukb-b-13354/ukb-b-13354.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	454850				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1337	ukb-b-1337	Ingredients in homemade soup: Vegetables			/local-scratch/data/opengwas/igd/ukb-b-1337/ukb-b-1337.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13378	ukb-b-13378	Birth weight			/local-scratch/data/opengwas/igd/ukb-b-13378/ukb-b-13378.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	261932				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1338	ukb-b-1338	Intake of artificial sweetener added to coffee			/local-scratch/data/opengwas/igd/ukb-b-1338/ukb-b-1338.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13380	ukb-b-13380	Operative procedures - secondary OPCS: E36.9 Unspecified diagnostic endoscopic examination of larynx			/local-scratch/data/opengwas/igd/ukb-b-13380/ukb-b-13380.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13391	ukb-b-13391	Diagnoses - main ICD10: G45.9 Transient cerebral ischaemic attack, unspecified			/local-scratch/data/opengwas/igd/ukb-b-13391/ukb-b-13391.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13392	ukb-b-13392	Diagnoses - secondary ICD10: K57.3 Diverticular disease of large intestine without perforation or abscess			/local-scratch/data/opengwas/igd/ukb-b-13392/ukb-b-13392.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13401	ukb-b-13401	PCT where patients GP was registered: SOUTHWARK PCT			/local-scratch/data/opengwas/igd/ukb-b-13401/ukb-b-13401.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13405	ukb-b-13405	Forced expiratory volume in 1-second (FEV1), predicted percentage			/local-scratch/data/opengwas/igd/ukb-b-13405/ukb-b-13405.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	148653				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13414	ukb-b-13414	Diagnoses - main ICD10: O02.1 Missed abortion			/local-scratch/data/opengwas/igd/ukb-b-13414/ukb-b-13414.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13416	ukb-b-13416	6mm weak meridian (right)			/local-scratch/data/opengwas/igd/ukb-b-13416/ukb-b-13416.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	84303				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13417	ukb-b-13417	Treatment/medication code: isosorbide mononitrate			/local-scratch/data/opengwas/igd/ukb-b-13417/ukb-b-13417.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13423	ukb-b-13423	Breastfed as a baby			/local-scratch/data/opengwas/igd/ukb-b-13423/ukb-b-13423.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	352094				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13425	ukb-b-13425	Operative procedures - secondary OPCS: V55.3 Greater than two levels of spine			/local-scratch/data/opengwas/igd/ukb-b-13425/ukb-b-13425.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13426	ukb-b-13426	Treatment/medication code: irbesartan			/local-scratch/data/opengwas/igd/ukb-b-13426/ukb-b-13426.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1343	ukb-b-1343	PCT where patients GP was registered: GEDLING PCT			/local-scratch/data/opengwas/igd/ukb-b-1343/ukb-b-1343.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13435	ukb-b-13435	Operation code: maxillo-facial surgery			/local-scratch/data/opengwas/igd/ukb-b-13435/ukb-b-13435.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13447	ukb-b-13447	Non-cancer illness code, self-reported: chronic obstructive airways disease/copd			/local-scratch/data/opengwas/igd/ukb-b-13447/ukb-b-13447.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13458	ukb-b-13458	PCT where patients GP was registered: BRADFORD AND AIREDALE TEACHING PCT			/local-scratch/data/opengwas/igd/ukb-b-13458/ukb-b-13458.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13464	ukb-b-13464	Diagnoses - main ICD10: K62.8 Other specified diseases of anus and rectum			/local-scratch/data/opengwas/igd/ukb-b-13464/ukb-b-13464.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13473	ukb-b-13473	PCT where patients GP was registered: MIDDLESBROUGH PCT			/local-scratch/data/opengwas/igd/ukb-b-13473/ukb-b-13473.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13478	ukb-b-13478	Treatment/medication code: citalopram			/local-scratch/data/opengwas/igd/ukb-b-13478/ukb-b-13478.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13480	ukb-b-13480	Treatment/medication code: food supplement/plant/herbal extract			/local-scratch/data/opengwas/igd/ukb-b-13480/ukb-b-13480.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13488	ukb-b-13488	Treatment/medication code: perindopril			/local-scratch/data/opengwas/igd/ukb-b-13488/ukb-b-13488.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1350	ukb-b-1350	Main speciality of consultant (recoded): Accident and emergency (A&E)			/local-scratch/data/opengwas/igd/ukb-b-1350/ukb-b-1350.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	461251				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13500	ukb-b-13500	Operative procedures - secondary OPCS: Z27.4 Duodenum			/local-scratch/data/opengwas/igd/ukb-b-13500/ukb-b-13500.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13501	ukb-b-13501	Mean signal-to-noise ratio (SNR), (left)			/local-scratch/data/opengwas/igd/ukb-b-13501/ukb-b-13501.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	148579				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13506	ukb-b-13506	3mm weak meridian (right)			/local-scratch/data/opengwas/igd/ukb-b-13506/ukb-b-13506.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	96007				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13513	ukb-b-13513	Non-cancer illness code, self-reported: appendicitis			/local-scratch/data/opengwas/igd/ukb-b-13513/ukb-b-13513.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13516	ukb-b-13516	Scotch egg intake			/local-scratch/data/opengwas/igd/ukb-b-13516/ukb-b-13516.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13517	ukb-b-13517	Diagnoses - main ICD10: M72.0 Palmar fascial fibromatosis [Dupuytren]			/local-scratch/data/opengwas/igd/ukb-b-13517/ukb-b-13517.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13520	ukb-b-13520	Orange intake			/local-scratch/data/opengwas/igd/ukb-b-13520/ukb-b-13520.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13525	ukb-b-13525	Diagnoses - secondary ICD10: I34.0 Mitral (valve) insufficiency			/local-scratch/data/opengwas/igd/ukb-b-13525/ukb-b-13525.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13532	ukb-b-13532	Non-cancer illness code, self-reported: thyroid problem (not cancer)			/local-scratch/data/opengwas/igd/ukb-b-13532/ukb-b-13532.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13535	ukb-b-13535	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia			/local-scratch/data/opengwas/igd/ukb-b-13535/ukb-b-13535.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13537	ukb-b-13537	Operation code: percutaneous/open kidney stone surgery/lithotripsy			/local-scratch/data/opengwas/igd/ukb-b-13537/ukb-b-13537.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13538	ukb-b-13538	6mm weak meridian (left)			/local-scratch/data/opengwas/igd/ukb-b-13538/ukb-b-13538.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	83410				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13545	ukb-b-13545	Cancer code, self-reported: uterine/endometrial cancer			/local-scratch/data/opengwas/igd/ukb-b-13545/ukb-b-13545.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1355	ukb-b-1355	Number of diet questionnaires completed			/local-scratch/data/opengwas/igd/ukb-b-1355/ukb-b-1355.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	198623				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13551	ukb-b-13551	Operative procedures - secondary OPCS: X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance			/local-scratch/data/opengwas/igd/ukb-b-13551/ukb-b-13551.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13556	ukb-b-13556	Red wine intake			/local-scratch/data/opengwas/igd/ukb-b-13556/ukb-b-13556.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13566	ukb-b-13566	Operative procedures - main OPCS: K63.6 Coronary arteriography NEC			/local-scratch/data/opengwas/igd/ukb-b-13566/ukb-b-13566.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13567	ukb-b-13567	Sweetcorn intake			/local-scratch/data/opengwas/igd/ukb-b-13567/ukb-b-13567.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13583	ukb-b-13583	Operation code: haemorroidectomy / piles surgery/ banding of piles			/local-scratch/data/opengwas/igd/ukb-b-13583/ukb-b-13583.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13584	ukb-b-13584	Illnesses of mother: Breast cancer			/local-scratch/data/opengwas/igd/ukb-b-13584/ukb-b-13584.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	423458				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13607	ukb-b-13607	Operation code: gynaecological surgery			/local-scratch/data/opengwas/igd/ukb-b-13607/ukb-b-13607.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13609	ukb-b-13609	Treatment speciality of consultant (recoded): Obstetrics			/local-scratch/data/opengwas/igd/ukb-b-13609/ukb-b-13609.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	444675				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13614	ukb-b-13614	PCT where patients GP was registered: ASHTON, LEIGH AND WIGAN PCT			/local-scratch/data/opengwas/igd/ukb-b-13614/ukb-b-13614.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13616	ukb-b-13616	Number of baps with  butter/margarine			/local-scratch/data/opengwas/igd/ukb-b-13616/ukb-b-13616.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64942				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13624	ukb-b-13624	PCT where patients GP was registered: SANDWELL PCT			/local-scratch/data/opengwas/igd/ukb-b-13624/ukb-b-13624.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13639	ukb-b-13639	Operative procedures - main OPCS: H28.9 Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope			/local-scratch/data/opengwas/igd/ukb-b-13639/ukb-b-13639.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13651	ukb-b-13651	Operative procedures - main OPCS: C79.2 Vitrectomy using pars plana approach			/local-scratch/data/opengwas/igd/ukb-b-13651/ukb-b-13651.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13653	ukb-b-13653	Worry too long after embarrassment			/local-scratch/data/opengwas/igd/ukb-b-13653/ukb-b-13653.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	443918				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1366	ukb-b-1366	PCT responsible for patient data: SOUTH TYNESIDE PCT			/local-scratch/data/opengwas/igd/ukb-b-1366/ukb-b-1366.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13664	ukb-b-13664	Treatment/medication code: rosuvastatin			/local-scratch/data/opengwas/igd/ukb-b-13664/ukb-b-13664.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13673	ukb-b-13673	Operative procedures - secondary OPCS: Y82.1 Local anaesthetic nerve block			/local-scratch/data/opengwas/igd/ukb-b-13673/ukb-b-13673.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13683	ukb-b-13683	Operative procedures - secondary OPCS: Y58.8 Other specified harvest of skin for graft			/local-scratch/data/opengwas/igd/ukb-b-13683/ukb-b-13683.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13686	ukb-b-13686	Mother's age			/local-scratch/data/opengwas/igd/ukb-b-13686/ukb-b-13686.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	180094				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13696	ukb-b-13696	Diagnoses - main ICD10: O04.9 Complete or unspecified, without complication			/local-scratch/data/opengwas/igd/ukb-b-13696/ukb-b-13696.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13702	ukb-b-13702	Time spent doing vigorous physical activity			/local-scratch/data/opengwas/igd/ukb-b-13702/ukb-b-13702.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-13704	ukb-b-13704	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung			/local-scratch/data/opengwas/igd/ukb-b-13704/ukb-b-13704.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462013				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
