analysis_id	field	value	method	evidence	notes
ukb-b-10217	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10224	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1909;n_controls=461024	
ukb-b-10224	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10248	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=6034;n_controls=456976	
ukb-b-10248	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10250	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10250	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10258	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1554;n_controls=461379	
ukb-b-10258	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10260	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=4302;n_controls=60647	
ukb-b-10260	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10263	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=5227;n_controls=457783	
ukb-b-10263	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10272	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1182;n_controls=461751	
ukb-b-10272	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10281	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2496;n_controls=460514	
ukb-b-10281	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10284	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=14179;n_controls=448754	
ukb-b-10284	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10286	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=42565;n_controls=22384	
ukb-b-10286	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10289	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1269;n_controls=461664	
ukb-b-10289	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10298	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1383;n_controls=461627	
ukb-b-10298	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10309	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2559;n_controls=460374	
ukb-b-10309	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10324	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2782;n_controls=460151	
ukb-b-10324	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10325	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10325	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10351	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=4029;n_controls=458904	
ukb-b-10351	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10362	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1100;n_controls=461910	
ukb-b-10362	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10366	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=35147;n_controls=29802	
ukb-b-10366	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10368	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2443;n_controls=460567	
ukb-b-10368	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10382	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2990;n_controls=460020	
ukb-b-10382	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10387	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=33509;n_controls=118044	
ukb-b-10387	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10409	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1543;n_controls=461467	
ukb-b-10409	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1041	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1041	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10412	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10412	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10414	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10414	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10415	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=303978;n_controls=103414	
ukb-b-10415	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10433	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1437;n_controls=461496	
ukb-b-10433	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1044	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1581;n_controls=461429	
ukb-b-1044	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10444	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2239;n_controls=460771	
ukb-b-10444	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10454	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=176419;n_controls=249310	
ukb-b-10454	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1046	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1046	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10477	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1671;n_controls=461339	
ukb-b-10477	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10485	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1007;n_controls=462003	
ukb-b-10485	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10490	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2219;n_controls=460791	
ukb-b-10490	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10505	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=59969;n_controls=398110	
ukb-b-10505	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10537	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=5314;n_controls=457619	
ukb-b-10537	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10546	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10546	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10554	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2576;n_controls=460357	
ukb-b-10554	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10555	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2046;n_controls=460964	
ukb-b-10555	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10559	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=83717;n_controls=378907	
ukb-b-10559	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10565	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10565	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10567	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1960;n_controls=62989	
ukb-b-10567	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10586	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1005;n_controls=461928	
ukb-b-10586	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10591	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=73061;n_controls=384951	
ukb-b-10591	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10608	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=7548;n_controls=455462	
ukb-b-10608	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1061	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1061	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10617	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3422;n_controls=459511	
ukb-b-10617	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10623	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2447;n_controls=460563	
ukb-b-10623	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10629	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10629	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10640	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10640	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10646	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1942;n_controls=461068	
ukb-b-10646	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10655	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=25817;n_controls=436681	
ukb-b-10655	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10668	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1541;n_controls=461469	
ukb-b-10668	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10694	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2076;n_controls=460934	
ukb-b-10694	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1070	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1070	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10712	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2469;n_controls=460541	
ukb-b-10712	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10713	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3296;n_controls=459637	
ukb-b-10713	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10733	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1185;n_controls=461748	
ukb-b-10733	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10753	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=22340;n_controls=439238	
ukb-b-10753	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10756	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1543;n_controls=461467	
ukb-b-10756	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10766	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1011;n_controls=461922	
ukb-b-10766	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10768	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10768	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10769	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2459;n_controls=460551	
ukb-b-10769	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10771	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=18203;n_controls=444807	
ukb-b-10771	stored_effect_scale	sd	opengwas_api_gwasinfo		
