analysis_index	analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
10	GCST90202065	GCST90202065	Tartarate levels	tartarate measurement	http://www.ebi.ac.uk/efo/EFO_0800941	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202065_GCST90202065.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202065/harmonised/GCST90202065.h.tsv.gz		GCST90202065_GCST90202065.filtered.tsv.gz	de2052dc165517907e8ccb651a8fad5ce4d07778257784dd7d0b2709f5c4d2ce	sha256	233099	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	1.01180287604238	estimated_from_source_maf	sd	total	analysis_level	82	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
11	GCST90202066	GCST90202066	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	http://www.ebi.ac.uk/efo/EFO_0021021	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202066_GCST90202066.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202066/harmonised/GCST90202066.h.tsv.gz		GCST90202066_GCST90202066.filtered.tsv.gz	bee3eef0fd4dda43f9f6b964123221c05fcb594a6ceb9fb5e129353b5c5ebc8f	sha256	214141	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.980799367775472	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
12	GCST90202067	GCST90202067	Glycodeoxycholate levels	glycodeoxycholate measurement	http://www.ebi.ac.uk/efo/EFO_0010493	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202067_GCST90202067.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202067/harmonised/GCST90202067.h.tsv.gz		GCST90202067_GCST90202067.filtered.tsv.gz	1e932bd5a430e96ee119852975d4364e79bec9464db07aea03d4e7170f2cd28d	sha256	341997	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.952913534991214	estimated_from_source_maf	sd	total	analysis_level	71	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
13	GCST90202068	GCST90202068	Methionine sulfoxide levels	Methionine sulfoxide measurement	http://www.ebi.ac.uk/efo/EFO_0021650	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202068_GCST90202068.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202068/harmonised/GCST90202068.h.tsv.gz		GCST90202068_GCST90202068.filtered.tsv.gz	f0df270fa5f4e04e067928f8cec58e6dd58321767c547bd9d8702586bc8e7872	sha256	159476	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.963608467468369	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
14	GCST90202069	GCST90202069	Imidazole lactate levels	imidazole lactate measurement	http://www.ebi.ac.uk/efo/EFO_0800004	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202069_GCST90202069.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202069/harmonised/GCST90202069.h.tsv.gz		GCST90202069_GCST90202069.filtered.tsv.gz	3ed5c696d9aaf77ac31d4f92e89bad45a0c111eefdac62fcb984a2aa6959c4ad	sha256	161183	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.922021825423452	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
15	GCST90202070	GCST90202070	Phenylacetate levels	phenylacetate measurement	http://www.ebi.ac.uk/efo/EFO_0021012	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202070_GCST90202070.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202070/harmonised/GCST90202070.h.tsv.gz		GCST90202070_GCST90202070.filtered.tsv.gz	a984df9af698685cad17e551877217a9c2c4cb6554df04423716fd39a8a0f9d1	sha256	219973	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.959344579125085	estimated_from_source_maf	sd	total	analysis_level	82	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
16	GCST90202071	GCST90202071	Xanthurenate levels	xanthurenate measurement	http://www.ebi.ac.uk/efo/EFO_0010551	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202071_GCST90202071.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202071/harmonised/GCST90202071.h.tsv.gz		GCST90202071_GCST90202071.filtered.tsv.gz	bf14d83c16e498fb1a3668c913e9de09c14bd26598a79af4ef5bfdc85b2186c5	sha256	160126	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.960779368736966	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
17	GCST90202072	GCST90202072	4-guanidinobutanoate levels	4-guanidinobutanoate measurement	http://www.ebi.ac.uk/efo/EFO_0800003	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202072_GCST90202072.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202072/harmonised/GCST90202072.h.tsv.gz		GCST90202072_GCST90202072.filtered.tsv.gz	fd0665a5854550dbac95bd70790477382d1eb90e969f0dbb66ca3f13b227f34d	sha256	160159	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.977563039995665	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
18	GCST90202073	GCST90202073	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	http://www.ebi.ac.uk/efo/EFO_0020018	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202073_GCST90202073.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202073/harmonised/GCST90202073.h.tsv.gz		GCST90202073_GCST90202073.filtered.tsv.gz	d7b8d44070231575eb94c92ed471c4056444330d46d864939b9e2929a94ce405	sha256	160496	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.974583464670696	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
19	GCST90202074	GCST90202074	Hippurate levels	hippurate measurement	http://www.ebi.ac.uk/efo/EFO_0010992	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202074_GCST90202074.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202074/harmonised/GCST90202074.h.tsv.gz		GCST90202074_GCST90202074.filtered.tsv.gz	9dca15ecbc0b70fae6b876e7ef7b2401e42adec96d0212d7e63b89d3cc393694	sha256	226103	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.972812791958992	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
20	GCST90202075	GCST90202075	5-hydroxylysine levels	5-hydroxylysine measurement	http://www.ebi.ac.uk/efo/EFO_0800002	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202075_GCST90202075.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202075/harmonised/GCST90202075.h.tsv.gz		GCST90202075_GCST90202075.filtered.tsv.gz	41e1c93e82d8c3d4ff201d3c217f152a853527a96671c14173018731c793c53e	sha256	445383	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.964763011975664	estimated_from_source_maf	sd	total	analysis_level	100	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
21	GCST90202076	GCST90202076	Glycerol 3-phosphate levels	glycerol-3-phosphate measurement	http://www.ebi.ac.uk/efo/EFO_0010488	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202076_GCST90202076.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202076/harmonised/GCST90202076.h.tsv.gz		GCST90202076_GCST90202076.filtered.tsv.gz	72ebb1ef72a5432293875c439d9bf5e43e9ffd976f472de991ed04cc42a29242	sha256	160739	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.994519972852373	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
22	GCST90202077	GCST90202077	Theophylline levels	theophylline measurement	http://www.ebi.ac.uk/efo/EFO_0021180	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202077_GCST90202077.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202077/harmonised/GCST90202077.h.tsv.gz		GCST90202077_GCST90202077.filtered.tsv.gz	57ab229542a3c928d50d81103cedb91501cf67e5fc4ff3a929b55215d7fd3ae3	sha256	232097	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.977219830988955	estimated_from_source_maf	sd	total	analysis_level	91	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
23	GCST90202078	GCST90202078	Quinate levels	quinate measurement	http://www.ebi.ac.uk/efo/EFO_0021167	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202078_GCST90202078.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202078/harmonised/GCST90202078.h.tsv.gz		GCST90202078_GCST90202078.filtered.tsv.gz	cda31b4ea13adc261dcde39824153dec1c3d0a093dbdc2f7bc0c93207ce2312e	sha256	160800	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.969047363683122	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
24	GCST90202079	GCST90202079	Theobromine levels	theobromine measurement	http://www.ebi.ac.uk/efo/EFO_0021179	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202079_GCST90202079.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202079/harmonised/GCST90202079.h.tsv.gz		GCST90202079_GCST90202079.filtered.tsv.gz	567812ee086975c05232f9b01008906f9ba8d55b296c81bbb78900ceda3b792c	sha256	161947	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.937205266908632	estimated_from_source_maf	sd	total	analysis_level	100	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
25	GCST90202080	GCST90202080	Isovalerate (i5:0) levels	isovalerate (i5:0) measurement	http://www.ebi.ac.uk/efo/EFO_0800010	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202080_GCST90202080.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202080/harmonised/GCST90202080.h.tsv.gz		GCST90202080_GCST90202080.filtered.tsv.gz	07a2eac3fbc23bff10d81a3dc90cb3fee8d0aca17ef02fb6e3e04e243981771e	sha256	156238	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.971379196339376	estimated_from_source_maf	sd	total	analysis_level	98	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
26	GCST90202081	GCST90202081	Gentisate levels	gentisate measurement	http://www.ebi.ac.uk/efo/EFO_0800007	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202081_GCST90202081.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202081/harmonised/GCST90202081.h.tsv.gz		GCST90202081_GCST90202081.filtered.tsv.gz	96f856fb31fb28b61c8e41f94d35b166df2dd01559929906bafa57c9e9107718	sha256	207702	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.951473786504788	estimated_from_source_maf	sd	total	analysis_level	96	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
27	GCST90202082	GCST90202082	1-myristoyl-2-palmitoyl-gpc (14:0/16:0) levels	1-myristoyl-2-palmitoyl-GPC (14:0/16:0) measurement	http://www.ebi.ac.uk/efo/EFO_0800191	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202082_GCST90202082.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202082/harmonised/GCST90202082.h.tsv.gz		GCST90202082_GCST90202082.filtered.tsv.gz	6b7592f3ef812cb9ae170c51744af0956d5c042cf207622f2a5a82cff05d1e08	sha256	160144	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.873811274536651	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
28	GCST90202083	GCST90202083	4-acetylphenol sulfate levels	4-acetylphenol sulfate measurement	http://www.ebi.ac.uk/efo/EFO_0800942	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202083_GCST90202083.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202083/harmonised/GCST90202083.h.tsv.gz		GCST90202083_GCST90202083.filtered.tsv.gz	9cb395150cb52e42f65ba0f85b0dae8a2ad97678c941ef0f52987707f5d20023	sha256	158401	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.945860202204213	estimated_from_source_maf	sd	total	analysis_level	95	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
29	GCST90202084	GCST90202084	Indolelactate levels	indolelactate measurement	http://www.ebi.ac.uk/efo/EFO_0020012	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202084_GCST90202084.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202084/harmonised/GCST90202084.h.tsv.gz		GCST90202084_GCST90202084.filtered.tsv.gz	05a56f4addeed012bfe0033a1f81faaacaf2b2db1571abddef3a2348d35d2e3f	sha256	160274	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.846418508844543	estimated_from_source_maf	sd	total	analysis_level	103	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
30	GCST90202085	GCST90202085	1,2-dipalmitoyl-gpc (16:0/16:0) levels	1,2-dipalmitoyl-GPC (16:0/16:0) measurement	http://www.ebi.ac.uk/efo/EFO_0800189	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202085_GCST90202085.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202085/harmonised/GCST90202085.h.tsv.gz		GCST90202085_GCST90202085.filtered.tsv.gz	e0a9754c9a8c25110b2fce884bae026e044f68a9ef86e31dbb8677d520f28ec8	sha256	159288	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.916280293671259	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
31	GCST90202086	GCST90202086	1-stearoyl-GPI (18:0) levels	1-stearoyl-GPI (18:0) measurement	http://www.ebi.ac.uk/efo/EFO_0800188	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202086_GCST90202086.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202086/harmonised/GCST90202086.h.tsv.gz		GCST90202086_GCST90202086.filtered.tsv.gz	d98616c231c3c3ec389e7e5e960b537ea18481794628a1307458800df0a2f0fd	sha256	223643	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.937999439152805	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
