analysis_index	analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90202055	GCST90202055	Carnitine levels	carnitine measurement	http://www.ebi.ac.uk/efo/EFO_0010469	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202055_GCST90202055.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202055/harmonised/GCST90202055.h.tsv.gz		GCST90202055_GCST90202055.filtered.tsv.gz	fe0f2834447b0e88b4936733e0937348898b6aa3e02883e47b3a81a84fbcc69d	sha256	161260	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.942918661443161	estimated_from_source_maf	sd	total	analysis_level	101	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
1	GCST90202056	GCST90202056	Benzoate levels	benzoate measurement	http://www.ebi.ac.uk/efo/EFO_0021150	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202056_GCST90202056.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202056/harmonised/GCST90202056.h.tsv.gz		GCST90202056_GCST90202056.filtered.tsv.gz	ff8b5580f2d477e534d9084a9f513b1294225584d3256989f95a5cafa1c2570b	sha256	158808	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.960820580744407	estimated_from_source_maf	sd	total	analysis_level	95	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
2	GCST90202057	GCST90202057	N-acetylglutamate levels	N-acetylglutamate measurement	http://www.ebi.ac.uk/efo/EFO_0800005	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202057_GCST90202057.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202057/harmonised/GCST90202057.h.tsv.gz		GCST90202057_GCST90202057.filtered.tsv.gz	56579010ca30514828ca174807d57751bbdc9b4fca1d15bad0809b12b9093140	sha256	161326	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.961862829180891	estimated_from_source_maf	sd	total	analysis_level	101	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
3	GCST90202058	GCST90202058	Glucuronate levels	glucuronate measurement	http://www.ebi.ac.uk/efo/EFO_0010486	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202058_GCST90202058.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202058/harmonised/GCST90202058.h.tsv.gz		GCST90202058_GCST90202058.filtered.tsv.gz	016d7e79952f29a9eb2d969801ab2e46ccadb9891c9f4424aa06aedcf14912ee	sha256	156673	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.866079927593748	estimated_from_source_maf	sd	total	analysis_level	99	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
4	GCST90202059	GCST90202059	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	http://www.ebi.ac.uk/efo/EFO_0800006	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202059_GCST90202059.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202059/harmonised/GCST90202059.h.tsv.gz		GCST90202059_GCST90202059.filtered.tsv.gz	d74c7a6bf56af144223f09b7843413a8e5d3c376603baf4a60a17b715a81f79a	sha256	155046	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.961538561581214	estimated_from_source_maf	sd	total	analysis_level	67	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
5	GCST90202060	GCST90202060	Suberate (C8-DC) levels	suberate (C8-DC) measurement	http://www.ebi.ac.uk/efo/EFO_0800181	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202060_GCST90202060.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202060/harmonised/GCST90202060.h.tsv.gz		GCST90202060_GCST90202060.filtered.tsv.gz	78e009e307285b8cb5ac2a8a094687fd376823ccdb585091d81d5754ae418926	sha256	293666	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.965707502258894	estimated_from_source_maf	sd	total	analysis_level	87	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
6	GCST90202061	GCST90202061	3-methylhistidine levels	3-methylhistidine measurement	http://www.ebi.ac.uk/efo/EFO_0021004	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202061_GCST90202061.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202061/harmonised/GCST90202061.h.tsv.gz		GCST90202061_GCST90202061.filtered.tsv.gz	0a46d89139f1a2edcd5f54c45944cbbf9a5826526bc536d081eb8afcb0cb6b62	sha256	159179	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.938336792949632	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
7	GCST90202062	GCST90202062	Kynurenine levels	kynurenine measurement	http://www.ebi.ac.uk/efo/EFO_0008529	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202062_GCST90202062.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202062/harmonised/GCST90202062.h.tsv.gz		GCST90202062_GCST90202062.filtered.tsv.gz	2be4e6fbf778573b633aaffc849fa49d5fb6f966ac5f7cff964a7b6814b8e68e	sha256	159128	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.872171243879219	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
8	GCST90202063	GCST90202063	Ribitol levels	ribitol measurement	http://www.ebi.ac.uk/efo/EFO_0800143	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202063_GCST90202063.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202063/harmonised/GCST90202063.h.tsv.gz		GCST90202063_GCST90202063.filtered.tsv.gz	58479ed1c82e6ec978f983a876027eee1fb36e0705078c07b8dcafd45d88f42a	sha256	160569	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.939734914851132	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
9	GCST90202064	GCST90202064	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate measurement	http://www.ebi.ac.uk/efo/EFO_0021010	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202064_GCST90202064.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202064/harmonised/GCST90202064.h.tsv.gz		GCST90202064_GCST90202064.filtered.tsv.gz	89a176ec77669ccace7f2355863f364c3bf885452cc3af93cee5ed9616de43ca	sha256	160435	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	East Asian	EAS	af_assigned	sd	0.930110181575125	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
