analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90203100	GCST90203100	passed	""	source	""	0.906792797370303	estimated_from_source_maf	25	25	0	0	0	0	25	0.01	0.5	0.906792797370303	0.018409512602168	median implied SD=0.907, dispersion=0.018, n=25	effect_scale_validation.R:v1
GCST90203101	GCST90203101	passed	""	source	""	0.805755070813603	estimated_from_source_maf	27	27	0	0	0	0	27	0.01	0.5	0.805755070813603	0.0677077538518843	median implied SD=0.806, dispersion=0.068, n=27	effect_scale_validation.R:v1
GCST90203102	GCST90203102	passed	""	source	""	0.970732452788673	estimated_from_source_maf	2869	2869	0	0	0	1	2868	0.01	0.5	0.970732452788673	0.0737770603283328	median implied SD=0.971, dispersion=0.074, n=2868	effect_scale_validation.R:v1
GCST90203103	GCST90203103	passed	""	source	""	0.916072885113883	estimated_from_source_maf	25	25	0	0	0	0	25	0.01	0.5	0.916072885113883	0.048151873899408	median implied SD=0.916, dispersion=0.048, n=25	effect_scale_validation.R:v1
GCST90203104	GCST90203104	passed	""	source	""	0.882551472654433	estimated_from_source_maf	22	22	0	0	0	0	22	0.01	0.5	0.882551472654433	0.0499858040186669	median implied SD=0.883, dispersion=0.050, n=22	effect_scale_validation.R:v1
GCST90203105	GCST90203105	passed	""	source	""	0.851429514071399	estimated_from_source_maf	28	28	0	0	0	0	28	0.01	0.5	0.851429514071399	0.0383510215398045	median implied SD=0.851, dispersion=0.038, n=28	effect_scale_validation.R:v1
GCST90203106	GCST90203106	passed	""	source	""	0.855579744831195	estimated_from_source_maf	20	20	0	0	0	0	20	0.01	0.5	0.855579744831195	0.0559434877521085	median implied SD=0.856, dispersion=0.056, n=20	effect_scale_validation.R:v1
GCST90203107	GCST90203107	passed	""	source	""	0.980948803950502	estimated_from_source_maf	7065	7065	0	0	0	0	7065	0.01	0.5	0.980948803950502	0.0559307914935682	median implied SD=0.981, dispersion=0.056, n=7065	effect_scale_validation.R:v1
GCST90203108	GCST90203108	skipped	low_overlap	source	""		unavailable	19	19	0	0	0	0	19	0.01	0.5	0.901183269256377	0.0547816751089365	low_overlap (median implied SD=0.901, dispersion=0.055, n=19)	effect_scale_validation.R:v1
GCST90203109	GCST90203109	skipped	low_overlap	source	""		unavailable	16	16	0	0	0	0	16	0.01	0.5	0.854192028649196	0.0752288435384596	low_overlap (median implied SD=0.854, dispersion=0.075, n=16)	effect_scale_validation.R:v1
GCST90203110	GCST90203110	passed	""	source	""	0.993163603312294	estimated_from_source_maf	10236	10236	0	0	0	0	10236	0.01	0.5	0.993163603312294	0.0471892523851316	median implied SD=0.993, dispersion=0.047, n=10236	effect_scale_validation.R:v1
GCST90203111	GCST90203111	skipped	low_overlap	source	""		unavailable	16	16	0	0	0	0	16	0.01	0.5	0.853040569886362	0.0490711904008743	low_overlap (median implied SD=0.853, dispersion=0.049, n=16)	effect_scale_validation.R:v1
GCST90203112	GCST90203112	passed	""	source	""	0.985845248950219	estimated_from_source_maf	14972	14972	0	0	0	0	14972	0.01	0.5	0.985845248950219	0.0491182693025156	median implied SD=0.986, dispersion=0.049, n=14972	effect_scale_validation.R:v1
