analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90201039	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201039/harmonised/GCST90201039.h.tsv.gz	160259073	7667029	140022	0.018263	0	22	139685	337	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201039_GCST90201039.filtered.tsv.gz	2672803	sha256	bddea3565715d5e1d07bc3086b8e46b515c27cd1b9b45dbc889df298b5e5707a	5.5	20.4	25.9
GCST90201040	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201040/harmonised/GCST90201040.h.tsv.gz	151572471	7361826	60	8e-06	0	0	0	60	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201040_GCST90201040.filtered.tsv.gz	2091	sha256	4a1211794bc71765c0290741d100755ce50682d8edc190c9b8cf87fc3c54534b	6.8	18.5	25.3
GCST90202055	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202055/harmonised/GCST90202055.h.tsv.gz	87523336	4210984	20	5e-06	0	0	0	20	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202055_GCST90202055.filtered.tsv.gz	782	sha256	12073b5875b7c66e052744b3a23845ec788c9ee8b50b12143baa29ef5d569283	5.2	10.4	15.7
GCST90202056	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202056/harmonised/GCST90202056.h.tsv.gz	85702675	4145602	21	5e-06	0	0	0	21	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202056_GCST90202056.filtered.tsv.gz	830	sha256	6cfa75d1e28567f9cc0f05d19e1c08e6205a7d99da3c54b1d2f6fe8728dafaa3	5.4	7.6	13
GCST90202057	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202057/harmonised/GCST90202057.h.tsv.gz	83783207	4218615	18	4e-06	0	0	0	18	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202057_GCST90202057.filtered.tsv.gz	726	sha256	162caeab2ac4a1de2363a865124a16fa90dbe29a112aab4b5730da107301550e	3.1	7.8	10.9
GCST90202058	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202058/harmonised/GCST90202058.h.tsv.gz	80809284	4085955	28	7e-06	0	0	0	28	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202058_GCST90202058.filtered.tsv.gz	1031	sha256	6254cf665c6c8d12dc577fa0688578d29e1ad8b0f43eb7b3da4c2d3e002e432d	4	9.1	13.1
GCST90202059	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202059/harmonised/GCST90202059.h.tsv.gz	81539968	4086482	22	5e-06	0	0	0	22	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202059_GCST90202059.filtered.tsv.gz	853	sha256	d21e152a8a9356e154f55eeb723616fd6fc3c21aefc9a186e126bcb9cfad74f5	6	7.8	13.8
GCST90202060	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202060/harmonised/GCST90202060.h.tsv.gz	80453614	4125284	7211	0.001748	0	2	7180	31	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202060_GCST90202060.filtered.tsv.gz	137254	sha256	ba61996457e56d76828c216601230e71d4fca07a24c7bc882e65797c74b05b21	6.8	9.2	15.9
GCST90202061	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202061/harmonised/GCST90202061.h.tsv.gz	82990796	4171012	15	4e-06	0	0	0	15	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202061_GCST90202061.filtered.tsv.gz	631	sha256	1a90dea475618af0ea11828c98f2c6169ca34559ef6a6d2e988eefaffc1ab85e	6.6	7.8	14.3
GCST90202062	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202062/harmonised/GCST90202062.h.tsv.gz	82936419	4171012	15	4e-06	0	0	0	15	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202062_GCST90202062.filtered.tsv.gz	627	sha256	7231b2a2815b54b5210d29c6051c715ddd4408e9f25ae5e369fefdc59625f0b6	1.2	7.8	9
