analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS	source_assigned_mismatch	ancestry_notes
GCST90201021	GCST90201021	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	9547	AFR	0.807446	0.653904	0.0395302	ok	0.807446	0.0027428	0	0.153542	0	0.026443	0.0098256	false	dominant=AFR proportion=0.807 margin=0.654 overlap=9547 residual=0.0395
GCST90201022	GCST90201022	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	10215	AFR	0.820742	0.680604	0.0396251	ok	0.820742	0.0096128	0.0110795	0.140137	0	0	0.0184286	false	dominant=AFR proportion=0.821 margin=0.681 overlap=10215 residual=0.0396
GCST90201023	GCST90201023	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	9189	AFR	0.788992	0.654317	0.0407948	ok	0.788992	0.00552442	0	0.134674	0	0.0515743	0.0192354	false	dominant=AFR proportion=0.789 margin=0.654 overlap=9189 residual=0.0408
GCST90201024	GCST90201024	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	6671	AFR	0.808732	0.666704	0.0396061	ok	0.808732	0.0148233	0.0044761	0.142029	0.0073795	0.00210153	0.0204585	false	dominant=AFR proportion=0.809 margin=0.667 overlap=6671 residual=0.0396
GCST90201025	GCST90201025	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	15280	AFR	0.81135	0.64582	0.0392635	ok	0.81135	0	0.023119	0.165531	0	0	0	false	dominant=AFR proportion=0.811 margin=0.646 overlap=15280 residual=0.0393
GCST90201026	GCST90201026	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	6571	AFR	0.791577	0.631961	0.0433759	ok	0.791577	0.0147839	0.00523986	0.159615	3.29037e-05	0	0.0287511	false	dominant=AFR proportion=0.792 margin=0.632 overlap=6571 residual=0.0434
GCST90201027	GCST90201027	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	16456	AFR	0.826054	0.701791	0.0406833	ok	0.826054	0.0228549	0.00661513	0.124263	0	0	0.0202133	false	dominant=AFR proportion=0.826 margin=0.702 overlap=16456 residual=0.0407
GCST90201028	GCST90201028	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	25329	AFR	0.774987	0.590567	0.044372	ok	0.774987	0	0.0136939	0.18442	0	0	0.0268998	false	dominant=AFR proportion=0.775 margin=0.591 overlap=25329 residual=0.0444
GCST90201029	GCST90201029	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	10346	AFR	0.804005	0.677725	0.0379783	ok	0.804005	0.0233427	0.00676749	0.126279	0.0396057	0	0	false	dominant=AFR proportion=0.804 margin=0.678 overlap=10346 residual=0.0380
GCST90201030	GCST90201030	African	AFR	af_assigned	ukb-ancestry-mixture-hg38	18664	AFR	0.801828	0.644914	0.0405607	ok	0.801828	0.0118705	0.0185763	0.156914	0	0.00947528	0.00133667	false	dominant=AFR proportion=0.802 margin=0.645 overlap=18664 residual=0.0406
