analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202240	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202240/harmonised/GCST90202240.h.tsv.gz	87589167	4186701	5740	0.001371	0	0	0	22	5718	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202240_GCST90202240.filtered.tsv.gz	160247	sha256	2f18b87030082bce193d01c73b70eabee298131d5356ee723cda61c288aab197	7.7	11.3	19
GCST90202241	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202241/harmonised/GCST90202241.h.tsv.gz	83477324	4202112	9522	0.002266	0	1	3759	13	5753	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202241_GCST90202241.filtered.tsv.gz	237638	sha256	488795a7a2e578dffa825a24f36639a5371c81534654bf0af99deaf24184c7e0	7.5	11.2	18.7
GCST90202242	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202242/harmonised/GCST90202242.h.tsv.gz	83318916	4190084	9483	0.002263	0	1	3748	14	5726	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202242_GCST90202242.filtered.tsv.gz	236245	sha256	9f063acbe467b68d99428672876d47826005f607c136d089eae375b2d6e74256	6.3	9.8	16.1
GCST90202243	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202243/harmonised/GCST90202243.h.tsv.gz	82952518	4171012	5711	0.001369	0	0	0	15	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202243_GCST90202243.filtered.tsv.gz	159285	sha256	7bb1f76317b183b9bf3954e22c926fb58ac55cfd3117836f51f7d6a69522976b	4.9	11.1	16
GCST90202244	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202244/harmonised/GCST90202244.h.tsv.gz	87908735	4246157	5837	0.001375	0	0	0	12	5825	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202244_GCST90202244.filtered.tsv.gz	162540	sha256	af2ae41fec0a1a1e304ca226a14489fc29a2c57e1a6f9ae924ccad9a7759231d	6.7	11.6	18.4
GCST90202245	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202245/harmonised/GCST90202245.h.tsv.gz	87602152	4187835	5723	0.001367	0	0	0	13	5710	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202245_GCST90202245.filtered.tsv.gz	159696	sha256	834a68ed20fb0b7db6ec0313f0b2660600b56cdf3f699311e953f0f58390bcc8	4.5	10.6	15
GCST90202246	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202246/harmonised/GCST90202246.h.tsv.gz	87590128	4187835	5736	0.00137	0	0	0	26	5710	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202246_GCST90202246.filtered.tsv.gz	160103	sha256	8a729eb43c1d19f820d52e49aa19c47e24910f6965b37bd3fffe4995bdf8e991	5.3	11.3	16.7
GCST90202247	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202247/harmonised/GCST90202247.h.tsv.gz	76147301	4088710	9125	0.002232	0	1	3548	21	5564	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202247_GCST90202247.filtered.tsv.gz	214840	sha256	80c8fb0bf68c999868c0857fbab5544b92e2c1d17bfa42121e3a5d5327bb88c7	4.5	11.6	16.1
GCST90202248	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202248/harmonised/GCST90202248.h.tsv.gz	76871370	4047310	5532	0.001367	0	0	0	27	5505	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202248_GCST90202248.filtered.tsv.gz	153731	sha256	3d64dbbd29c418ce9b145322b30a4bb2e66e061b7d055f4700722a9364e705c8	5.2	11	16.2
GCST90202249	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202249/harmonised/GCST90202249.h.tsv.gz	81728790	4137649	5679	0.001373	0	0	0	18	5661	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202249_GCST90202249.filtered.tsv.gz	158732	sha256	5e3a4a12438186ac888b1cbf277e9a9c2e5d47433803a1b66e05f4f05357c43c	2.9	11.3	14.2
