analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90202994	GCST90202994	passed	""	source	""	0.971709805093683	estimated_from_source_maf	8257	8257	0	0	0	0	8257	0.01	0.5	0.971709805093683	0.0511880316665734	median implied SD=0.972, dispersion=0.051, n=8257	effect_scale_validation.R:v1
GCST90202995	GCST90202995	passed	""	source	""	0.972075359951598	estimated_from_source_maf	5666	5666	0	0	0	0	5666	0.01	0.5	0.972075359951598	0.0618843910699127	median implied SD=0.972, dispersion=0.062, n=5666	effect_scale_validation.R:v1
GCST90202996	GCST90202996	passed	""	source	""	0.989430817469131	estimated_from_source_maf	5803	5803	0	0	0	0	5803	0.01	0.5	0.989430817469131	0.0546595401180461	median implied SD=0.989, dispersion=0.055, n=5803	effect_scale_validation.R:v1
GCST90202997	GCST90202997	passed	""	source	""	0.953119481084164	estimated_from_source_maf	12824	12824	0	0	0	0	12824	0.01	0.5	0.953119481084164	0.0528037539916342	median implied SD=0.953, dispersion=0.053, n=12824	effect_scale_validation.R:v1
GCST90202998	GCST90202998	passed	""	source	""	0.963625174971699	estimated_from_source_maf	5572	5572	0	0	0	0	5572	0.01	0.5	0.963625174971699	0.0573892028875026	median implied SD=0.964, dispersion=0.057, n=5572	effect_scale_validation.R:v1
GCST90202999	GCST90202999	passed	""	source	""	0.921368778600869	estimated_from_source_maf	5733	5733	0	0	0	0	5733	0.01	0.5	0.921368778600869	0.0533842057201673	median implied SD=0.921, dispersion=0.053, n=5733	effect_scale_validation.R:v1
GCST90203000	GCST90203000	passed	""	source	""	0.935794380373179	estimated_from_source_maf	5690	5690	0	0	0	0	5690	0.01	0.5	0.935794380373179	0.057633068439546	median implied SD=0.936, dispersion=0.058, n=5690	effect_scale_validation.R:v1
GCST90203001	GCST90203001	passed	""	source	""	0.972996797059406	estimated_from_source_maf	5761	5761	0	0	0	0	5761	0.01	0.5	0.972996797059406	0.0540410103170438	median implied SD=0.973, dispersion=0.054, n=5761	effect_scale_validation.R:v1
GCST90203002	GCST90203002	passed	""	source	""	0.952542194493365	estimated_from_source_maf	5718	5718	0	0	0	0	5718	0.01	0.5	0.952542194493365	0.0535664639991333	median implied SD=0.953, dispersion=0.054, n=5718	effect_scale_validation.R:v1
GCST90203003	GCST90203003	passed	""	source	""	0.963741931200699	estimated_from_source_maf	5714	5714	0	0	0	0	5714	0.01	0.5	0.963741931200699	0.0532052139999912	median implied SD=0.964, dispersion=0.053, n=5714	effect_scale_validation.R:v1
GCST90203004	GCST90203004	passed	""	source	""	0.969762925866425	estimated_from_source_maf	5772	5772	0	0	0	0	5772	0.01	0.5	0.969762925866425	0.0545112626355603	median implied SD=0.970, dispersion=0.055, n=5772	effect_scale_validation.R:v1
GCST90203005	GCST90203005	passed	""	source	""	0.97593344898362	estimated_from_source_maf	8524	8524	0	0	0	0	8524	0.01	0.5	0.97593344898362	0.0483035364828695	median implied SD=0.976, dispersion=0.048, n=8524	effect_scale_validation.R:v1
GCST90203006	GCST90203006	passed	""	source	""	0.995958659814424	estimated_from_source_maf	9677	9677	0	0	0	0	9677	0.01	0.5	0.995958659814424	0.0578211018495147	median implied SD=0.996, dispersion=0.058, n=9677	effect_scale_validation.R:v1
GCST90203007	GCST90203007	passed	""	source	""	0.911050219680393	estimated_from_source_maf	5739	5739	0	0	0	0	5739	0.01	0.5	0.911050219680393	0.053982437688828	median implied SD=0.911, dispersion=0.054, n=5739	effect_scale_validation.R:v1
GCST90203008	GCST90203008	passed	""	source	""	0.984887578990902	estimated_from_source_maf	5783	5783	0	0	0	0	5783	0.01	0.5	0.984887578990902	0.0546932231148672	median implied SD=0.985, dispersion=0.055, n=5783	effect_scale_validation.R:v1
GCST90203009	GCST90203009	passed	""	source	""	0.968043555314175	estimated_from_source_maf	5732	5732	0	0	0	0	5732	0.01	0.5	0.968043555314175	0.0541333333190048	median implied SD=0.968, dispersion=0.054, n=5732	effect_scale_validation.R:v1
GCST90203010	GCST90203010	passed	""	source	""	0.949869402182664	estimated_from_source_maf	5792	5792	0	0	0	0	5792	0.01	0.5	0.949869402182664	0.0538649821263374	median implied SD=0.950, dispersion=0.054, n=5792	effect_scale_validation.R:v1
GCST90203011	GCST90203011	passed	""	source	""	0.9949191542534	estimated_from_source_maf	13337	13337	0	0	0	0	13337	0.01	0.5	0.9949191542534	0.05856310334035	median implied SD=0.995, dispersion=0.059, n=13337	effect_scale_validation.R:v1
