analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS	source_assigned_mismatch	ancestry_notes
GCST90202055	GCST90202055	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5784	EAS	0.990045	0.985268	0.0333378	ok	0.00144661	0.0047766	0.990045	0.00373185	0	0	0	false	dominant=EAS proportion=0.990 margin=0.985 overlap=5784 residual=0.0333
GCST90202056	GCST90202056	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5669	EAS	0.98927	0.983725	0.034223	ok	0.00218302	0.00554516	0.98927	0.00300185	0	0	0	false	dominant=EAS proportion=0.989 margin=0.984 overlap=5669 residual=0.0342
GCST90202057	GCST90202057	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5783	EAS	0.983997	0.977779	0.0331381	ok	0.00516716	0.00461785	0.983997	0.00621814	0	0	0	false	dominant=EAS proportion=0.984 margin=0.978 overlap=5783 residual=0.0331
GCST90202058	GCST90202058	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5593	EAS	0.983302	0.977588	0.033564	ok	0.00565881	0.00571481	0.983302	0.00532395	0	0	0	false	dominant=EAS proportion=0.983 margin=0.978 overlap=5593 residual=0.0336
GCST90202059	GCST90202059	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5578	EAS	0.982829	0.974005	0.0392422	ok	0.00731869	0.00882413	0.982829	0.0010282	0	0	0	false	dominant=EAS proportion=0.983 margin=0.974 overlap=5578 residual=0.0392
GCST90202060	GCST90202060	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	10943	EAS	0.981234	0.962468	0.0329319	ok	0	0.0187662	0.981234	0	0	0	0	false	dominant=EAS proportion=0.981 margin=0.962 overlap=10943 residual=0.0329
GCST90202061	GCST90202061	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5706	EAS	0.984356	0.978847	0.0328228	ok	0.0050563	0.00507877	0.984356	0.00550915	0	0	0	false	dominant=EAS proportion=0.984 margin=0.979 overlap=5706 residual=0.0328
GCST90202062	GCST90202062	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5704	EAS	0.984317	0.978977	0.0328445	ok	0.00504759	0.00529662	0.984317	0.00533923	0	0	0	false	dominant=EAS proportion=0.984 margin=0.979 overlap=5704 residual=0.0328
GCST90202063	GCST90202063	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5753	EAS	0.986416	0.981468	0.0332839	ok	0.00494826	0.00491199	0.986416	0.00372365	0	0	0	false	dominant=EAS proportion=0.986 margin=0.981 overlap=5753 residual=0.0333
GCST90202064	GCST90202064	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5752	EAS	0.984188	0.97753	0.0331143	ok	0.00545695	0.00369641	0.984188	0.00665857	0	0	0	false	dominant=EAS proportion=0.984 margin=0.978 overlap=5752 residual=0.0331
GCST90202065	GCST90202065	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	8536	EAS	0.981056	0.970636	0.033373	ok	0.00288149	0.00564218	0.981056	0.01042	0	0	0	false	dominant=EAS proportion=0.981 margin=0.971 overlap=8536 residual=0.0334
GCST90202066	GCST90202066	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	8040	EAS	0.981366	0.974239	0.0333104	ok	0.0010841	0	0.981366	0.00484027	0.00558216	0	0.00712714	false	dominant=EAS proportion=0.981 margin=0.974 overlap=8040 residual=0.0333
GCST90202067	GCST90202067	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	13160	EAS	0.952699	0.905397	0.0374209	ok	0	0.0473013	0.952699	0	0	0	0	false	dominant=EAS proportion=0.953 margin=0.905 overlap=13160 residual=0.0374
GCST90202068	GCST90202068	East Asian	EAS	af_assigned	ukb-ancestry-mixture-hg38	5709	EAS	0.984467	0.979133	0.0328016	ok	0.00497198	0.00522655	0.984467	0.00533422	0	0	0	false	dominant=EAS proportion=0.984 margin=0.979 overlap=5709 residual=0.0328
