analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
10	GCST90201031	GCST90201031	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	EFO:0800181	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201031_GCST90201031.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201031/harmonised/GCST90201031.h.tsv.gz		GCST90201031_GCST90201031.filtered.tsv.gz	fdeb17870d90fcecf6618a318425fcaf47ae2738df9bca1d553badb1557cbcee	sha256	781497	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.892635179439007	estimated_from_source_maf	sd	total	analysis_level	51	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
11	GCST90201032	GCST90201032	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	EFO:0020018	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201032_GCST90201032.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201032/harmonised/GCST90201032.h.tsv.gz		GCST90201032_GCST90201032.filtered.tsv.gz	37f5cb46eec3004b064e7cd0c3caebc9306a0f660bc7c8c885a74ecb2fd4804a	sha256	187055	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.82552642049301	estimated_from_source_maf	sd	total	analysis_level	59	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
12	GCST90201033	GCST90201033	Kynurenine levels	Kynurenine levels	kynurenine measurement	EFO:0008529	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201033_GCST90201033.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201033/harmonised/GCST90201033.h.tsv.gz		GCST90201033_GCST90201033.filtered.tsv.gz	aa68f744eebbb99b44c2746da007e410351fff6ec1b24ec7002a572b94b0bb0e	sha256	1014516	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.965326203789541	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
13	GCST90201034	GCST90201034	Maltotriose levels	Maltotriose levels	maltotriose measurement	EFO:0800142	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201034_GCST90201034.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201034/harmonised/GCST90201034.h.tsv.gz		GCST90201034_GCST90201034.filtered.tsv.gz	8d47bc9d203449f77e5dece2b97b2981a062c30b4260f5d3d87b410addfef749	sha256	561113	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.741793783540371	estimated_from_source_maf	sd	total	analysis_level	33	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
14	GCST90201035	GCST90201035	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate measurement	EFO:0021010	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201035_GCST90201035.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201035/harmonised/GCST90201035.h.tsv.gz		GCST90201035_GCST90201035.filtered.tsv.gz	60a5e70a32a5e102585d5bb3aaad2c907e9be3ab04fc9ab07a91d332e9ba8f01	sha256	679088	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.962936415760083	estimated_from_source_maf	sd	total	analysis_level	57	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
15	GCST90201036	GCST90201036	Imidazole lactate levels	Imidazole lactate levels	imidazole lactate measurement	EFO:0800004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201036_GCST90201036.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201036/harmonised/GCST90201036.h.tsv.gz		GCST90201036_GCST90201036.filtered.tsv.gz	bc81ce893de00ffbdc8b6ee4d085d4a741784b4dc35f21f8210d3cd4acf57507	sha256	546966	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.912512493707187	estimated_from_source_maf	sd	total	analysis_level	59	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
16	GCST90201037	GCST90201037	Tartarate levels	Tartarate levels	tartarate measurement	EFO:0800941	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201037_GCST90201037.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201037/harmonised/GCST90201037.h.tsv.gz		GCST90201037_GCST90201037.filtered.tsv.gz	b882f5f85538914d961d00ada56056c2e0c24f3499f276d90d2c473678dd5b96	sha256	1234264	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.903959420416419	estimated_from_source_maf	sd	total	analysis_level	54	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
17	GCST90201038	GCST90201038	N-acetylglutamate levels	N-acetylglutamate levels	N-acetylglutamate measurement	EFO:0800005	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201038_GCST90201038.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201038/harmonised/GCST90201038.h.tsv.gz		GCST90201038_GCST90201038.filtered.tsv.gz	89ed74d6630ba968fb9ceb5138df882920074f2e31449ad26beaf67860596a77	sha256	191874	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.775175902475569	estimated_from_source_maf	sd	total	analysis_level	54	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
18	GCST90201039	GCST90201039	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	EFO:0800006	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201039_GCST90201039.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201039/harmonised/GCST90201039.h.tsv.gz		GCST90201039_GCST90201039.filtered.tsv.gz	ec5b4cdbab6e533968311ccf2827237e69b81cc2d095182ab2ef8fb682c17c66	sha256	2864631	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.928332892772913	estimated_from_source_maf	sd	total	analysis_level	42	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
19	GCST90201040	GCST90201040	4-guanidinobutanoate levels	4-guanidinobutanoate levels	4-guanidinobutanoate measurement	EFO:0800003	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201040_GCST90201040.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201040/harmonised/GCST90201040.h.tsv.gz		GCST90201040_GCST90201040.filtered.tsv.gz	e7fd2ff33337d0c3290b97c01183d3573ae3d3515a7b858c049815700c4fd4e8	sha256	187144	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.788940379688925	estimated_from_source_maf	sd	total	analysis_level	58	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
20	GCST90202055	GCST90202055	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202055_GCST90202055.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202055/harmonised/GCST90202055.h.tsv.gz		GCST90202055_GCST90202055.filtered.tsv.gz	fe0f2834447b0e88b4936733e0937348898b6aa3e02883e47b3a81a84fbcc69d	sha256	161260	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.864694235886149	estimated_from_source_maf	sd	total	analysis_level	101	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
21	GCST90202056	GCST90202056	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202056_GCST90202056.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202056/harmonised/GCST90202056.h.tsv.gz		GCST90202056_GCST90202056.filtered.tsv.gz	ff8b5580f2d477e534d9084a9f513b1294225584d3256989f95a5cafa1c2570b	sha256	158808	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.882980802880542	estimated_from_source_maf	sd	total	analysis_level	95	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
22	GCST90202057	GCST90202057	N-acetylglutamate levels	N-acetylglutamate levels	N-acetylglutamate measurement	EFO:0800005	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202057_GCST90202057.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202057/harmonised/GCST90202057.h.tsv.gz		GCST90202057_GCST90202057.filtered.tsv.gz	56579010ca30514828ca174807d57751bbdc9b4fca1d15bad0809b12b9093140	sha256	161326	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.961862829180891	estimated_from_source_maf	sd	total	analysis_level	101	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
23	GCST90202058	GCST90202058	Glucuronate levels	Glucuronate levels	glucuronate measurement	EFO:0010486	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202058_GCST90202058.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202058/harmonised/GCST90202058.h.tsv.gz		GCST90202058_GCST90202058.filtered.tsv.gz	016d7e79952f29a9eb2d969801ab2e46ccadb9891c9f4424aa06aedcf14912ee	sha256	156673	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.801993770748422	estimated_from_source_maf	sd	total	analysis_level	99	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
24	GCST90202059	GCST90202059	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	EFO:0800006	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202059_GCST90202059.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202059/harmonised/GCST90202059.h.tsv.gz		GCST90202059_GCST90202059.filtered.tsv.gz	d74c7a6bf56af144223f09b7843413a8e5d3c376603baf4a60a17b715a81f79a	sha256	155046	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.860128733651039	estimated_from_source_maf	sd	total	analysis_level	67	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
25	GCST90202060	GCST90202060	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	EFO:0800181	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202060_GCST90202060.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202060/harmonised/GCST90202060.h.tsv.gz		GCST90202060_GCST90202060.filtered.tsv.gz	78e009e307285b8cb5ac2a8a094687fd376823ccdb585091d81d5754ae418926	sha256	293666	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.961834420711241	estimated_from_source_maf	sd	total	analysis_level	87	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
26	GCST90202061	GCST90202061	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	EFO:0021004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202061_GCST90202061.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202061/harmonised/GCST90202061.h.tsv.gz		GCST90202061_GCST90202061.filtered.tsv.gz	0a46d89139f1a2edcd5f54c45944cbbf9a5826526bc536d081eb8afcb0cb6b62	sha256	159179	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.938336792949632	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
27	GCST90202062	GCST90202062	Kynurenine levels	Kynurenine levels	kynurenine measurement	EFO:0008529	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202062_GCST90202062.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202062/harmonised/GCST90202062.h.tsv.gz		GCST90202062_GCST90202062.filtered.tsv.gz	2be4e6fbf778573b633aaffc849fa49d5fb6f966ac5f7cff964a7b6814b8e68e	sha256	159128	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.872171243879219	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
28	GCST90202063	GCST90202063	Ribitol levels	Ribitol levels	ribitol measurement	EFO:0800143	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202063_GCST90202063.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202063/harmonised/GCST90202063.h.tsv.gz		GCST90202063_GCST90202063.filtered.tsv.gz	58479ed1c82e6ec978f983a876027eee1fb36e0705078c07b8dcafd45d88f42a	sha256	160569	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.799068434560006	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
29	GCST90202064	GCST90202064	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate measurement	EFO:0021010	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202064_GCST90202064.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202064/harmonised/GCST90202064.h.tsv.gz		GCST90202064_GCST90202064.filtered.tsv.gz	89a176ec77669ccace7f2355863f364c3bf885452cc3af93cee5ed9616de43ca	sha256	160435	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	0.930110181575125	estimated_from_source_maf	sd	total	analysis_level	102	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
30	GCST90202065	GCST90202065	Tartarate levels	Tartarate levels	tartarate measurement	EFO:0800941	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202065_GCST90202065.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202065/harmonised/GCST90202065.h.tsv.gz		GCST90202065_GCST90202065.filtered.tsv.gz	de2052dc165517907e8ccb651a8fad5ce4d07778257784dd7d0b2709f5c4d2ce	sha256	233099	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	East Asian	EAS	af_assigned	sd	1.00954324486735	estimated_from_source_maf	sd	total	analysis_level	82	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
