analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90201021	GCST90201021	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201021_GCST90201021.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201021/harmonised/GCST90201021.h.tsv.gz		GCST90201021_GCST90201021.filtered.tsv.gz	0c208e7e2bf5efc4d656dc3d6be958e4a7c6b8639be84727f93fbbdc79a338e7	sha256	287920	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.962621207627282	estimated_from_source_maf	sd	total	analysis_level	58	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
1	GCST90201022	GCST90201022	Glycerol 3-phosphate levels	Glycerol 3-phosphate levels	glycerol-3-phosphate measurement	EFO:0010488	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201022_GCST90201022.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201022/harmonised/GCST90201022.h.tsv.gz		GCST90201022_GCST90201022.filtered.tsv.gz	82c16dda9c792111fe03b928f3d422ea6f6f6402ab45fc7d074920c3ccbccfc4	sha256	306532	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.963160559723484	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
2	GCST90201023	GCST90201023	Glucuronate levels	Glucuronate levels	glucuronate measurement	EFO:0010486	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201023_GCST90201023.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201023/harmonised/GCST90201023.h.tsv.gz		GCST90201023_GCST90201023.filtered.tsv.gz	1513f6db6c3d4969c8caa6970a64065849d8e50ddfcaea7fe227eac59c644670	sha256	288301	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.83463627757223	estimated_from_source_maf	sd	total	analysis_level	57	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
3	GCST90201024	GCST90201024	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	EFO:0021021	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201024_GCST90201024.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201024/harmonised/GCST90201024.h.tsv.gz		GCST90201024_GCST90201024.filtered.tsv.gz	f1cb86af39ffb334b337c37b472f14ffc2c0e8ef423a84ad8311837ffa82cc09	sha256	184871	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.737726062033196	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
4	GCST90201025	GCST90201025	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	EFO:0021004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201025_GCST90201025.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201025/harmonised/GCST90201025.h.tsv.gz		GCST90201025_GCST90201025.filtered.tsv.gz	4099ce1d797dd04c49fd2d4adcffac910e3ba96ea3714960418d32430c7d55d7	sha256	515712	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.942800737798964	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
5	GCST90201026	GCST90201026	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201026_GCST90201026.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201026/harmonised/GCST90201026.h.tsv.gz		GCST90201026_GCST90201026.filtered.tsv.gz	8d82111026ca126bd4b734bff83c4bd2757066434bab06d8650512301b4ae4fb	sha256	181958	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.717960454032491	estimated_from_source_maf	sd	total	analysis_level	49	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
6	GCST90201027	GCST90201027	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	EFO:0021650	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201027_GCST90201027.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201027/harmonised/GCST90201027.h.tsv.gz		GCST90201027_GCST90201027.filtered.tsv.gz	0dd968d798327bffd007d6764083234946e6c4cab474bf989c2586b84994f040	sha256	571754	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.971462414748505	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
7	GCST90201028	GCST90201028	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	EFO:0010551	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201028_GCST90201028.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201028/harmonised/GCST90201028.h.tsv.gz		GCST90201028_GCST90201028.filtered.tsv.gz	3f04f4fc061ba54c5cdaa3142a4a0e2b7d54500be1a5cfa3a2aeabeabf67e7ff	sha256	872344	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.973107043232065	estimated_from_source_maf	sd	total	analysis_level	53	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
8	GCST90201029	GCST90201029	Hippurate levels	Hippurate levels	hippurate measurement	EFO:0010992	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201029_GCST90201029.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201029/harmonised/GCST90201029.h.tsv.gz		GCST90201029_GCST90201029.filtered.tsv.gz	6c8a4a5365095ad70875a27ca3644ca6087cc07b98998e7e902888f021d2d858	sha256	323963	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.969049065529406	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
9	GCST90201030	GCST90201030	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	EFO:0021012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201030_GCST90201030.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201030/harmonised/GCST90201030.h.tsv.gz		GCST90201030_GCST90201030.filtered.tsv.gz	35bfa5f82fa5216263286ee6481a405d634a3c7f3a0318a15e592452c914828a	sha256	629863	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.870708132257206	estimated_from_source_maf	sd	total	analysis_level	55	0	0	PMID36635386	multi_ancestry_metabolome_pilot		plasma	metabolomics
