analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90201021	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201021/harmonised/GCST90201021.h.tsv.gz	150934858	7317643	11773	0.001609	0	1	5034	60	6683	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201021_GCST90201021.filtered.tsv.gz	287920	sha256	0c208e7e2bf5efc4d656dc3d6be958e4a7c6b8639be84727f93fbbdc79a338e7	9	19.5	28.5
GCST90201022	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201022/harmonised/GCST90201022.h.tsv.gz	157606464	7278494	12890	0.001771	0	1	6194	66	6636	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201022_GCST90201022.filtered.tsv.gz	306532	sha256	82c16dda9c792111fe03b928f3d422ea6f6f6402ab45fc7d074920c3ccbccfc4	9.2	20	29.3
GCST90201023	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201023/harmonised/GCST90201023.h.tsv.gz	151590595	7378767	12047	0.001633	0	1	5220	82	6750	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201023_GCST90201023.filtered.tsv.gz	288301	sha256	1513f6db6c3d4969c8caa6970a64065849d8e50ddfcaea7fe227eac59c644670	8.9	19.7	28.6
GCST90201024	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201024/harmonised/GCST90201024.h.tsv.gz	157486824	7278494	6703	0.000921	0	0	0	67	6636	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201024_GCST90201024.filtered.tsv.gz	184871	sha256	f1cb86af39ffb334b337c37b472f14ffc2c0e8ef423a84ad8311837ffa82cc09	11.7	18.7	30.4
GCST90201025	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201025/harmonised/GCST90201025.h.tsv.gz	157569458	7278494	22889	0.003145	0	3	16187	81	6636	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201025_GCST90201025.filtered.tsv.gz	515712	sha256	4099ce1d797dd04c49fd2d4adcffac910e3ba96ea3714960418d32430c7d55d7	6.7	19.1	25.8
GCST90201026	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201026/harmonised/GCST90201026.h.tsv.gz	145915067	7212352	6627	0.000919	0	0	0	92	6535	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201026_GCST90201026.filtered.tsv.gz	181958	sha256	8d82111026ca126bd4b734bff83c4bd2757066434bab06d8650512301b4ae4fb	8	17.8	25.8
GCST90201027	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201027/harmonised/GCST90201027.h.tsv.gz	150342549	7278494	25248	0.003469	0	3	18531	93	6636	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201027_GCST90201027.filtered.tsv.gz	571754	sha256	0dd968d798327bffd007d6764083234946e6c4cab474bf989c2586b84994f040	8.3	19.8	28.1
GCST90201028	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201028/harmonised/GCST90201028.h.tsv.gz	160148643	7489150	41856	0.005589	0	6	34868	153	6867	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201028_GCST90201028.filtered.tsv.gz	872344	sha256	3f04f4fc061ba54c5cdaa3142a4a0e2b7d54500be1a5cfa3a2aeabeabf67e7ff	5.5	19.1	24.6
GCST90201029	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201029/harmonised/GCST90201029.h.tsv.gz	150342712	7278494	13584	0.001866	0	1	6802	151	6636	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201029_GCST90201029.filtered.tsv.gz	323963	sha256	6c8a4a5365095ad70875a27ca3644ca6087cc07b98998e7e902888f021d2d858	11	19.5	30.5
GCST90201030	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201030/harmonised/GCST90201030.h.tsv.gz	160234032	7461308	29558	0.003962	0	4	22608	109	6863	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201030_GCST90201030.filtered.tsv.gz	629863	sha256	35bfa5f82fa5216263286ee6481a405d634a3c7f3a0318a15e592452c914828a	9.1	19.1	28.2
GCST90201031	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201031/harmonised/GCST90201031.h.tsv.gz	159769739	7510626	37515	0.004995	0	6	30439	194	6905	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201031_GCST90201031.filtered.tsv.gz	781497	sha256	fdeb17870d90fcecf6618a318425fcaf47ae2738df9bca1d553badb1557cbcee	9.3	20.3	29.6
