analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90240145	GCST90240145	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15256	13889	2001	552	0	751	10585	0.01	0.5	1.00930686232515	0.0212444341284356	median implied SD=1.009, dispersion=0.021, n=10585	effect_scale_validation.R:v1
GCST90240146	GCST90240146	passed	""	reference	ukb-hg38-eur-af		declared_standardised	6638	5982	772	243	0	494	4473	0.01	0.5	1.00926080224349	0.0237778266757956	median implied SD=1.009, dispersion=0.024, n=4473	effect_scale_validation.R:v1
GCST90240147	GCST90240147	passed	""	reference	ukb-hg38-eur-af		declared_standardised	16725	14412	2034	589	0	841	10948	0.01	0.5	1.00917516448897	0.0242741012991837	median implied SD=1.009, dispersion=0.024, n=10948	effect_scale_validation.R:v1
GCST90240148	GCST90240148	passed	""	reference	ukb-hg38-eur-af		declared_standardised	16811	14472	2063	581	0	898	10930	0.01	0.5	1.00924185772718	0.0220622209359078	median implied SD=1.009, dispersion=0.022, n=10930	effect_scale_validation.R:v1
GCST90240149	GCST90240149	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17818	14999	2083	513	0	828	11575	0.01	0.5	1.00893165781461	0.0241453842855978	median implied SD=1.009, dispersion=0.024, n=11575	effect_scale_validation.R:v1
GCST90240150	GCST90240150	passed	""	reference	ukb-hg38-eur-af		declared_standardised	27137	23253	3163	841	0	1386	17863	0.01	0.5	1.00882970862207	0.0234104199770248	median implied SD=1.009, dispersion=0.023, n=17863	effect_scale_validation.R:v1
GCST90240151	GCST90240151	passed	""	reference	ukb-hg38-eur-af		declared_standardised	27136	22162	3069	858	0	1571	16664	0.01	0.5	1.00672222863653	0.0219732357177119	median implied SD=1.007, dispersion=0.022, n=16664	effect_scale_validation.R:v1
GCST90240152	GCST90240152	passed	""	reference	ukb-hg38-eur-af		declared_standardised	18841	16377	2350	661	0	867	12499	0.01	0.5	1.00792077605284	0.0230508685490759	median implied SD=1.008, dispersion=0.023, n=12499	effect_scale_validation.R:v1
GCST90240153	GCST90240153	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8769	7956	1207	331	0	591	5827	0.01	0.5	1.00671069797127	0.0179015367284432	median implied SD=1.007, dispersion=0.018, n=5827	effect_scale_validation.R:v1
GCST90240154	GCST90240154	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7363	6575	869	278	0	509	4919	0.01	0.5	1.00808238462151	0.0226740225176316	median implied SD=1.008, dispersion=0.023, n=4919	effect_scale_validation.R:v1
GCST90240155	GCST90240155	passed	""	reference	ukb-hg38-eur-af		declared_standardised	14048	12917	1911	530	0	1448	9028	0.01	0.5	1.00719259668788	0.0199984970639542	median implied SD=1.007, dispersion=0.020, n=9028	effect_scale_validation.R:v1
GCST90240156	GCST90240156	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8191	6876	882	255	0	408	5331	0.01	0.5	1.00797905389024	0.0188062442337427	median implied SD=1.008, dispersion=0.019, n=5331	effect_scale_validation.R:v1
GCST90240157	GCST90240157	passed	""	reference	ukb-hg38-eur-af		declared_standardised	16941	14545	2070	612	0	938	10925	0.01	0.5	1.00918532112271	0.0259216435144616	median implied SD=1.009, dispersion=0.026, n=10925	effect_scale_validation.R:v1
GCST90240158	GCST90240158	passed	""	reference	ukb-hg38-eur-af		declared_standardised	14780	13235	1741	571	0	1048	9875	0.01	0.5	1.00668158759805	0.0198941090067519	median implied SD=1.007, dispersion=0.020, n=9875	effect_scale_validation.R:v1
GCST90240159	GCST90240159	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15659	14104	1950	592	0	954	10608	0.01	0.5	1.00720053063715	0.022552527886208	median implied SD=1.007, dispersion=0.023, n=10608	effect_scale_validation.R:v1
GCST90240160	GCST90240160	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8385	7847	1136	375	0	334	6002	0.01	0.5	1.00896889482373	0.0219194122343661	median implied SD=1.009, dispersion=0.022, n=6002	effect_scale_validation.R:v1
GCST90240161	GCST90240161	passed	""	reference	ukb-hg38-eur-af		declared_standardised	16576	15097	2068	604	0	933	11492	0.01	0.5	1.00587161044329	0.021255681287009	median implied SD=1.006, dispersion=0.021, n=11492	effect_scale_validation.R:v1
GCST90240162	GCST90240162	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8137	7317	1030	314	0	592	5381	0.01	0.5	1.00918814788477	0.02604333887765	median implied SD=1.009, dispersion=0.026, n=5381	effect_scale_validation.R:v1
GCST90240163	GCST90240163	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7661	7074	939	318	0	1040	4777	0.01	0.5	1.00669073409925	0.0221446523714035	median implied SD=1.007, dispersion=0.022, n=4777	effect_scale_validation.R:v1
GCST90240164	GCST90240164	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17989	15318	2228	573	0	845	11672	0.01	0.5	1.00844154317668	0.0226451031117896	median implied SD=1.008, dispersion=0.023, n=11672	effect_scale_validation.R:v1
GCST90240165	GCST90240165	passed	""	reference	ukb-hg38-eur-af		declared_standardised	18929	16675	2430	698	0	768	12779	0.01	0.5	1.01001291999639	0.0237290705232266	median implied SD=1.010, dispersion=0.024, n=12779	effect_scale_validation.R:v1
GCST90240166	GCST90240166	passed	""	reference	ukb-hg38-eur-af		declared_standardised	30932	28111	4162	1359	0	2024	20566	0.01	0.5	1.0069822860081	0.0197611174103689	median implied SD=1.007, dispersion=0.020, n=20566	effect_scale_validation.R:v1
