analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90240189	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240189/harmonised/GCST90240189.h.tsv.gz	305365465	10042828	9416	0.000938	9383	0	0	33	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/CRK_GCST90240189.filtered.tsv.gz	155563	sha256	0b5b6c8987f1a1b6f232c4d04ca03b755c35743b8edb9fe46d6a33ae65a7cd41	9.8	23	32.7
GCST90240190	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240190/harmonised/GCST90240190.h.tsv.gz	305301137	10042828	21893	0.00218	8183	1	13676	34	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/SLC35B3_GCST90240190.filtered.tsv.gz	352893	sha256	a7186d20dad57eba54d356bead41d726507d51a6dbe3af0922a714a63cdc9894	10.5	22.8	33.4
GCST90240191	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240191/harmonised/GCST90240191.h.tsv.gz	305380849	10042828	7949	0.000792	7906	0	0	43	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADA2_GCST90240191.filtered.tsv.gz	130180	sha256	70c119e862e59333dd6c2aed908700128d9403954c682842679e2973e34d917e	10.4	25.5	35.9
GCST90240192	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240192/harmonised/GCST90240192.h.tsv.gz	305299017	10042828	4865	0.000484	4837	0	0	28	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/AK1_GCST90240192.filtered.tsv.gz	81214	sha256	4aaf6dd67e6e58d1272732b512bfee8d7b6d71fb8283c918e61e14e6ebb85d6c	9.8	23.3	33.2
GCST90240193	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240193/harmonised/GCST90240193.h.tsv.gz	305397675	10042828	6803	0.000677	6760	0	0	43	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADSS1_GCST90240193.filtered.tsv.gz	113205	sha256	adde64dda683f34ad5cd3b31b60a76bc583a30dabfcc3cd495577f303afd6659	9.8	23.5	33.2
GCST90240194	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240194/harmonised/GCST90240194.h.tsv.gz	305338393	10042828	24653	0.002455	6856	2	17750	47	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADSS2_GCST90240194.filtered.tsv.gz	403803	sha256	ce9631f87244398c30a9af16847ab33d214954b2c0839552b0fd0a9c67c6625e	10.2	25.8	36
GCST90240195	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240195/harmonised/GCST90240195.h.tsv.gz	305366556	10042828	18640	0.001856	7766	2	10837	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/MOCS3_GCST90240195.filtered.tsv.gz	307576	sha256	3e4c0696b460d4f47f1f2fc6e78710155a2b851e8c9b04183e0dc5ce4a32073f	9.8	24.8	34.6
GCST90240196	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240196/harmonised/GCST90240196.h.tsv.gz	305402501	10042828	25999	0.002589	7375	2	18594	30	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADGRF5_GCST90240196.filtered.tsv.gz	427408	sha256	83e3b6a239840a6316dac58ab6dfd0af7fd9c4f012195adec7ce7ddfe2e7816c	9.8	23.4	33.2
GCST90240197	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240197/harmonised/GCST90240197.h.tsv.gz	305434304	10042828	21460	0.002137	7178	2	14251	31	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADGRF1_GCST90240197.filtered.tsv.gz	353622	sha256	74575a91d741153e1a915073d5c06f12d9e616a11b6e7d7401ece390faca0dd7	10.2	23.6	33.9
GCST90240198	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240198/harmonised/GCST90240198.h.tsv.gz	305382756	10042828	8908	0.000887	8871	0	0	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADGRG5_GCST90240198.filtered.tsv.gz	147826	sha256	9ad305b6b69049a72844fac3964e6be0b8b3a94740efb612cdeb20768c413a77	9.8	24.4	34.2
